brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
ASUS,Zenbook Pro 14 Duo,14.50,Tech Black,1000.00,Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.00,2399.99
ASUS,ASUS Chromebook C203XA,11.60,Grey,32.00,MediaTek_MT8127,4.00,Chrome OS,Spill resistant,Integrated,,,4.30,184.62
MSI,Stealth 17Studio A13VH-053US,17.30,,1000.00,Core i9,32.00,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,,4.20,2793.89
Lenovo,Ideapad,15.60,Platinum Grey,256.00,Intel Core i3,8.00,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,,,4.30,429.00
MSI,MSI GF63,15.60,,512.00,Core i5 Family,16.00,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,,4.10,729.99
Apple,"2022 Apple MacBook Air M2, 16  RAM, 256  Storage - Space Gray (Z15S000CT)",13.60,,256.00,Apple M1,16.00,macOS 12 Monterey,,Integrated,,3.40,5.00,1255.94
HP,EliteBook 840,14.00,Silver,256.00,Core i5 6200U,16.00,Windows 10 Pro,Anti Glare Coating,Integrated,,,4.00,1000.00
ASUS,ProArt StudioBook 16,16.00,,1000.00,Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,5.60,3.70,2499.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
SAMSUNG,Chromebook 4+,15.60,Silver,64.00,Celeron N3450,4.00,Chrome OS,,Integrated,,1.10,4.40,205.00
HP,"HP 14"" Chromebook",14.00,Dale Gray,128.00,Core i3,8.00,Chrome OS,High Quality,Integrated,,,3.90,265.99
acer,Aspire 5,15.60,Silver,128.00,Ryzen 3 3350U,4.00,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.50,367.29
Razer,Razer Blade 14,14.00,,1000.00,Ryzen 9 7900X,16.00,Windows 11 Home,,RTX 4070,NVIDIA GeForce RTX 4070,,4.30,2699.99
ASUS,VivoBook 15,15.60,Slate Gray,128.00,Core i3-1005G1,8.00,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,,,4.50,379.00
acer,PH16-71-74UU,16.00,Black,1000.00,Intel Core i7,16.00,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.50,1649.99
ASUS,ASUS ROG Zephyrus Duo 16,16.00,Black,1000.00,Ryzen 7,16.00,Windows 11 Home,Anti Glare Coating,RTX 3060,,,4.30,1589.99
ASUS,Vivobook Pro 15,15.60,Quiet Blue,1000.00,Ryzen 9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.60,1399.99
Dell,XPS9310-7321WHT-SUS,13.40,White,512.00,Core i7 Family,16.00,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.10,1229.99
Dell,Dell G15 5520,15.60,Shadow Grey,512.00,Core i7 Family,16.00,Windows 11 Home,,Dedicated,,,4.20,1129.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
ASUS,Vivobook 14,14.00,Quiet Blue,256.00,Core i5,8.00,Windows 11 Home,,Integrated,Intel Iris,,4.40,479.99
HP,HP Chromebook,16.00,Chalkboard Gray,32.00,AMD A Series,4.00,Chrome OS,Backlit Keyboard,Dedicated,,,4.30,94.98
LG,17Z90R-A.ADB9U1,17.00,Black,2 TB,Intel Core i7,32.00,Windows 11 Home,,Dedicated,NVIDIA RTX3050,,3.70,2296.99
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ASUS,Vivobook 16X,16.00,Indie Black,1000.00,Core i9,32.00,Windows 11 Home,"Fingerprint Reader, HD Audio, Spill resistant, High Definition Audio, Anti Glare Coating","Integrated, Dedicated",,,3.50,1699.99
